id,descripcion,imagen
6466347,"FLAT TILE 1X2, NO. 401",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466347.jpg
6466352,"HEDGEHOG, W/ 1,5 HOLE, NO. 2",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466352.jpg
6466380,"FLAT TILE 1X2, NO. 417",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466380.jpg
6466695,"HORSE, NO. 33",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466695.jpg
6466742,"FLAT TILE 1X1, ROUND, NO. 278",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466742.jpg
6466743,"BIRD, NO. 29",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466743.jpg
6466780,"HORSE, NO. 32",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466780.jpg
6466812,"BRICK 1X2, OUTSIDE HALF BOW, NO. 30",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466812.jpg
6466813,"BRICK 1X2, OUTSIDE HALF BOW, NO. 31",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466813.jpg
6466814,"BRICK 1X2, OUTSIDE HALF BOW, NO. 32",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466814.jpg
6466815,"BRICK 1X2, OUTSIDE HALF BOW, NO. 33",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466815.jpg
6466816,"BRICK 1X2, OUTSIDE HALF BOW, NO. 34",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466816.jpg
6466817,"BRICK 1X2, OUTSIDE HALF BOW, NO. 35",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466817.jpg
6466818,"BRICK 1X2, OUTSIDE HALF BOW, NO. 36",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466818.jpg
6466819,"BRICK 1X2, OUTSIDE HALF BOW, NO. 37",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466819.jpg
6466820,"BRICK 1X2, OUTSIDE HALF BOW, NO. 38",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466820.jpg
6466821,"BRICK 1X2, OUTSIDE HALF BOW, NO. 39",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466821.jpg
6466822,"BRICK 2X4, INVERTED, OUTSIDE BOW, NO. 1",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466822.jpg
6466823,"BRICK 2X4, INVERTED, OUTSIDE BOW, NO. 2",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466823.jpg
6466825,"BRICK 2X4, INVERTED, OUTSIDE BOW, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466825.jpg
6466826,"BRICK 2X4, INVERTED, OUTSIDE BOW, NO. 5",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466826.jpg
6466827,"PLATE 1X4 2/3, W/ BOW, NO. 22",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6466827.jpg
6467216,"FLAT TILE 2X2, ROUND, NO. 1287",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6467216.jpg
6467694,"FLAT TILE 2X2, ROUND, NO. 1285",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6467694.jpg
6468323,"FLAT TILE 1X6, NO. 41",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6468323.jpg
6469016,"WALL ELEMENT 1X4X3, NO. 37",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6469016.jpg
6469017,"BRICK 2X4, W/ BOW, NO. 13",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6469017.jpg
6469018,"FINAL BRICK 2X2, NO. 1034",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6469018.jpg
6469346,"TILE 4X4, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6469346.jpg
6469869,"PUNCHING FOIL SHEET, NO. 84",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6469869.jpg
6470008,"PUNCHING FOIL SHEET, NO. 82",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6470008.jpg
6470143,"PUNCHING FOIL SHEET, NO. 83",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6470143.jpg
